,"en","ru"
"GAME_NAME","I Know Everything","Я знаю всё"
"DEFAULT_PLAYER_NAME","Player","Игрок"
"INFO_STEAM_INIT_ERROR","Steam initialization failed, please try to restart Steam client!","Ошибка инициализации Steam, пожалуйста, попробуйте перезапустить клиент Steam!"
"INFO_GREETING","Hello, %s!","Привет, %s!"
"INFO_SCORE_RANK_SINGLE","Singleplayer: your score is %d, your leaderboard rank is %d","Одиночная игра: ваш счёт %d, вы занимаете %d место"
"INFO_SCORE_RANK_MULTI","Multiplayer: your score is %d, your leaderboard rank is %d","Игра по сети: ваш счёт %d, вы занимаете %d место"
"INFO_SCORE_RANK_RETRIEVING","Retrieving your stats from Steam servers...","Загружаю ваши данные с серверов Steam…"
"MENU_START_GAME","Start game","Начать игру"
"MENU_JOIN_GAME","Join game","Найти игру"
"MENU_LEADERBOARDS","Leaderboards","Лидеры"
"MENU_STATS","Stats","Статистика"
"MENU_SETTINGS","Settings","Настройки"
"MENU_CREDITS","Credits","Благодарности"
"MENU_ABOUT","Our games","Наши игры"
"MENU_EDITOR","Editor","Редактор"
"MENU_RULES","Rules","Правила"
"MENU_QUIT","Quit","Выход"
"GAME_LOADING","Loading…","Загрузка…"
"GAME_CONFIRM","Confirm","Подтвердить"
"GAME_NEXT","Next","Далее"
"PARAMS_START","Start","Начать"
"PARAMS_BACK","Back","Назад"
"PARAMS_QUESTIONS_COUNT","Questions count","Число вопросов"
"PARAMS_CATEGORIES","Categories","Категории"
"PARAMS_CATEGORIES_ALL","All","Все"
"PARAMS_CATEGORIES_RANDOM","Random","Случайная"
"PARAMS_OPPONENT","Opponent","Оппонент"
"PARAMS_OPPONENT_NONE","None","Без оппонента"
"PARAMS_OPPONENT_CPU","Computer","Компьютер"
"PARAMS_OPPONENT_HUMAN","Human","Человек"
"PARAMS_LOBBY_TYPE","Lobby type","Тип лобби"
"PARAMS_LOBBY_PUBLIC","Public","Открытое"
"PARAMS_LOBBY_FRIENDS_ONLY","Friends only","Только для друзей"
"PARAMS_LOBBY_PRIVATE","Private","Закрытое"
"ABOUT_HEADER","Our games","Наши игры"
"ABOUT_AUTHOR","Developed by NLB project:","Разработано NLB project:"
"ABOUT_OPEN_IN_STORE","View game page in Steam","Открыть страницу игры в Steam"
"ABOUT_CAPTION_NONLINEAR_TQ","Non-Linear Text Quests","Нелинейные текстовые квесты"
"ABOUT_GAME_NONLINEAR_TQ","Non-Linear Text Quests is a bundle of text games of various genres.","Non-Linear Text Quests – это сборник текстовых игр разных жанров."
"ABOUT_CAPTION_ADVFOUR","The Adventurous Four","Неукротимая четвёрка"
"ABOUT_GAME_ADVFOUR","It is a sequel to our ""Wild Island Quest"" visual novel, which was published a few years ago.","Продолжение визуальной новеллы ""Дикий остров"", которая вышла в свет несколько лет назад."
"ABOUT_CAPTION_REDHOOD","Return of Red Riding Hood","Возвращение Красной Шапочки"
"ABOUT_GAME_REDHOOD","This visual novel is a collection of alternative realities.","Эта визуальная новелла – собрание альтернативных реальностей."
"ABOUT_CAPTION_BARBARIAN","The Barbarian and the Subterranean Caves","Варвар и подземные пещеры"
"ABOUT_GAME_BARBARIAN","It is an adventure visual novel about the heroic feats of the intrepid warrior Ragnar.","Приключенческая визуальная новелла о подвигах бесстрашного героя Рагнара."
"ABOUT_CAPTION_WIQ","Wild Island Quest","Дикий остров"
"ABOUT_GAME_WIQ","It is a visual novel about the adventures of the teenagers on the flying island.","Визуальная новелла о приключении детей на летающем острове."
"ABOUT_BACK","Back","Назад"
"RES_HEADER","Game finished","Игра окончена"
"RES_QUANTITY","Quantity","Количество"
"RES_OPPONENT_QUANTITY","Quantity","Количество"
"RES_SCORE","Score","Баллы"
"RES_OPPONENT_SCORE","Score","Баллы"
"RES_CORRECT_ANSWERS","Correct answers","Верных ответов"
"RES_REMAINING_LIVES","Remaining lives","Сохранённых жизней"
"RES_WIN","Win Bonus","Бонус за победу"
"RES_WIN_YES","YES","ДА"
"RES_WIN_NO","NO","НЕТ"
"RES_TOTAL","Total","Итого"
"RES_NEXT","Next","Далее"
"SETTINGS_HEADER","Settings","Настройки"
"SETTINGS_MUSIC_VOLUME","Music volume","Громкость музыки"
"SETTINGS_SOUND_VOLUME","Sound volume","Громкость звуков"
"SETTINGS_BACKGROUND","Background","Фон"
"SETTINGS_MUSIC_TRACK","Music","Музыка"
"SETTINGS_GAME_THEME","UI theme","Тема оформления"
"SETTINGS_GAME_THEME_LIGHT","Light","Светлая"
"SETTINGS_GAME_THEME_DARK","Dark","Тёмная"
"SETTINGS_ANSWER_RESULT_ANIMATION","Answer result animation","Анимация результата выбора"
"SETTINGS_FULLSCREEN","Fullscreen mode","Полноэкранный режим"
"SETTINGS_APPLY","Apply","Применить"
"SETTINGS_CANCEL","Cancel","Отменить"
"STATS_HEADER","Stats","Статистика"
"STATS_BACK","Back","Назад"
"STATS_CATEGORY","Category","Категория"
"STATS_CORRECT_ANSWERS","Correct answers","Верных ответов"
"STATS_INCORRECT_ANSWERS","Incorrect answers","Неверных ответов"
"STATS_TOTAL_ANSWERS","Total answers","Всего ответов"
"STATS_CATEGORY_ALL","All","Все"
"STATS_GAMES_PLAYED","Games played","Количество игр"
"STATS_WINS","Wins","Побед"
"STATS_LOSSES","Losses","Поражений"
"LEADERBOARDS_HEADER","Leaderboards","Лидеры"
"LEADERBOARDS_RANK","Rank","Место"
"LEADERBOARDS_PLAYER","Player","Игрок"
"LEADERBOARDS_SCORE","Score","Очки"
"LEADERBOARDS_BACK","Back","Назад"
"LEADERBOARDS_WAIT_MESSAGE","Retrieving leaderboards, please wait…","Получение списка лидеров, пожалуйста, подождите…"
"LEADERBOARDS_OPEN_FULL_LEADERBOARD","Open full leaderboard","Открыть всю таблицу рекордов"
"GAME_WAIT_HEADER","Preparing the match","Подготовка к матчу"
"GAME_WAIT_OPPONENT","Opponent:","Оппонент:"
"GAME_WAIT_READY","Ready","Готов"
"GAME_WAIT_READY_MESSAGE","READY","ГОТОВ"
"GAME_WAIT_NOT_READY_MESSAGE","NOT READY","НЕ ГОТОВ"
"GAME_WAIT_BACK","Back","Назад"
"GAME_WAIT_INVITE","Invite","Пригласить"
"GAME_WAIT_START","Start","Начать"
"GAME_WAIT_WAITING","Waiting for opponent…","Ждём оппонента…"
"GAME_WAIT_CONNECTED","Opponent connected","Оппонент подключился"
"GAME_WAIT_STARTING","Starting in %d…","Начинаем через %d…"
"GAME_JOIN_HEADER","List of available games","Список доступных игр"
"GAME_JOIN_FRIENDS_ONLY","Show only friends","Показывать только друзей"
"GAME_JOIN_UPDATE_IN","Updating the list in %d","Обновление списка через %d"
"GAME_JOIN_UPDATE_NOW","Update now","Обновить сейчас"
"GAME_JOIN_WAIT_MESSAGE","Retrieving list of available games, please wait…","Получение списка доступных игр, пожалуйста, подождите…"
"GAME_JOIN_NO_GAMES_MESSAGE","There is no available games right now.","Прямо сейчас нет доступных игр."
"GAME_JOIN_CONNECT","Connect","Подключиться"
"GAME_JOIN_BACK","Back","Назад"
"GAME_JOIN_PLAYER","Player","Игрок"
"GAME_JOIN_QUESTIONS_COUNT",", %s questions",", %s вопросов"
"GAME_JOIN_CATEGORIES","Categories","Категории"
"GAME_JOIN_CREATE_OWN_GAME","Create your own game","Создать свою игру"
"CREDITS_HEADER","Credits","Благодарности"
"CREDITS_BACK","Back","Назад"
"CREDITS_GODOT","Made with Godot Engine","Сделано с помощью Godot Engine"
"CREDITS_FONT","Font: Roboto Regular, made by Christian Robertson","Шрифт: Roboto Regular, создатель Christian Robertson"
"CREDITS_PROOFREADER","Special thanks for English text proofreading: Christine Ewert","Благодарность за редактуру английского текста: Christine Ewert"
"CREDITS_AUTHORS","Authors","Авторы"
"AUTHORS_HEADER","Authors","Авторы"
"AUTHORS_BACK","Back","Назад"
"GAME_ALL_THAT_APPLY","Select all that apply.","Выберите все подходящие варианты."
"RULES_HEADER","Rules","Правила"
"RULES_BACK","Back","Назад"
"deep_sky_01.png","Deep Sky","Deep Sky"
"deep_space_01.png","Deep Space","Deep Space"
"eye_nebula_01.png","Eye Nebula","Eye Nebula"
"ez_space_lite_01.png","Space Lite","Space Lite"
"meyespace_v1_01.png","Space","Space"
"milky_way_01.png","Milky Way","Milky Way"
"space_nebula_01.png","Space Nebula","Space Nebula"
"spacegen_01.png","SpaceGen","SpaceGen"
"Blue-Space-v0_96.ogg","Blue Space","Blue Space"
"Drifting-Beyond-the-Stars.ogg","Drifting Beyond the Stars","Drifting Beyond the Stars"
"enchanted-tiki-86.ogg","Enchanted tiki 86","Enchanted tiki 86"
"Please-answer-me-my-friend.ogg","Please, answer me my friend","Please, answer me my friend"
"tgfcoder-FrozenJam.ogg","Frozen Jam","Frozen Jam"
"Through-Space.ogg","Through Space","Through Space"
